year,member,tas_global,tas_ais,scenario
1850,r1i1p1f1,286.9485812561879,237.77256321031837,historical
1851,r1i1p1f1,286.9967066245153,238.54283762927815,historical
1852,r1i1p1f1,286.91437591131023,238.19180795384372,historical
1853,r1i1p1f1,286.81150124274353,237.1377790922275,historical
1854,r1i1p1f1,286.7756224700323,238.08523268196495,historical
1855,r1i1p1f1,286.9566154524934,238.6926850562598,historical
1856,r1i1p1f1,286.9487371276641,238.70426763963707,historical
1857,r1i1p1f1,286.88244693893336,238.2575323483894,historical
1858,r1i1p1f1,286.86451102380244,238.7452958401814,historical
1859,r1i1p1f1,287.0347968452367,239.1656812602384,historical
1860,r1i1p1f1,286.8770708786738,239.2536618240461,historical
1861,r1i1p1f1,286.8511860305047,238.1869710355765,historical
1862,r1i1p1f1,286.81073591956,238.23665213420009,historical
1863,r1i1p1f1,286.9037346301969,238.63681401680415,historical
1864,r1i1p1f1,286.7709278105511,238.02442047456853,historical
1865,r1i1p1f1,286.9001650062463,238.39388170032183,historical
1866,r1i1p1f1,286.8391004179368,238.319372736328,historical
1867,r1i1p1f1,286.812027814226,238.3705933964976,historical
1868,r1i1p1f1,286.91160221339567,238.76280665760544,historical
1869,r1i1p1f1,286.7795341001478,238.3109585828303,historical
1870,r1i1p1f1,286.81284521104624,238.1893727012744,historical
1871,r1i1p1f1,286.897198980159,238.8463512131446,historical
1872,r1i1p1f1,286.7250004028057,237.66176583290024,historical
1873,r1i1p1f1,286.62636139606843,238.18599391163136,historical
1874,r1i1p1f1,286.7353212901579,237.84567816081645,historical
1875,r1i1p1f1,286.96315419318773,238.47585055061825,historical
1876,r1i1p1f1,286.89285363686207,238.9588422798355,historical
1877,r1i1p1f1,286.96433510541164,238.5641679376502,historical
1878,r1i1p1f1,286.97613740584063,238.0933596598358,historical
1879,r1i1p1f1,286.86356240852535,238.03538893466023,historical
1880,r1i1p1f1,286.9403750078172,238.73635713292148,historical
1881,r1i1p1f1,286.9938979416551,238.7787985000334,historical
1882,r1i1p1f1,287.0426189867646,238.60853629563545,historical
1883,r1i1p1f1,286.8572042367899,238.125114056374,historical
1884,r1i1p1f1,286.7722849229943,239.20677285037016,historical
1885,r1i1p1f1,286.66777435368823,238.47516400816716,historical
1886,r1i1p1f1,286.81942104323775,238.06663250665403,historical
1887,r1i1p1f1,286.7823664400991,238.2658603674726,historical
1888,r1i1p1f1,286.81553213567565,238.7208278607546,historical
1889,r1i1p1f1,286.8163762658866,238.29962835527476,historical
1890,r1i1p1f1,286.82291270390886,237.73720102570968,historical
1891,r1i1p1f1,286.97627765274933,239.26778436808712,historical
1892,r1i1p1f1,286.960918517372,238.7554718416235,historical
1893,r1i1p1f1,286.94715727358624,238.5778933962195,historical
1894,r1i1p1f1,287.0002717114724,238.4861388623027,historical
1895,r1i1p1f1,287.1325059633318,238.73533819689592,historical
1896,r1i1p1f1,287.12596119501484,239.85143352907343,historical
1897,r1i1p1f1,287.01953186582074,238.76695273083345,historical
1898,r1i1p1f1,287.0269214571826,237.96001845004005,historical
1899,r1i1p1f1,286.9539268938626,238.2072103250048,historical
1900,r1i1p1f1,286.8141533930192,237.8174232527188,historical
1901,r1i1p1f1,287.0673133463666,237.5315512968448,historical
1902,r1i1p1f1,287.01162005924687,238.26442650312535,historical
1903,r1i1p1f1,286.7753530126214,238.364662259761,historical
1904,r1i1p1f1,286.9910945480791,238.67430168399815,historical
1905,r1i1p1f1,287.07936796781127,238.6148161540742,historical
1906,r1i1p1f1,286.9459306179641,238.462266325852,historical
1907,r1i1p1f1,286.7992535873349,236.5902151481018,historical
1908,r1i1p1f1,287.0158340016,237.71418152757937,historical
1909,r1i1p1f1,287.0774350328036,238.34982986965093,historical
1910,r1i1p1f1,287.09511170402385,238.33933494545045,historical
1911,r1i1p1f1,286.95566351573757,238.61923089947945,historical
1912,r1i1p1f1,286.9033281001214,238.88074363450767,historical
1913,r1i1p1f1,286.90403798002257,238.64411600988143,historical
1914,r1i1p1f1,286.90863516142485,238.19055010684704,historical
1915,r1i1p1f1,286.94609733841554,239.15688131099785,historical
1916,r1i1p1f1,286.81635421342986,237.5606549807719,historical
1917,r1i1p1f1,286.8479817117583,237.79560858645013,historical
1918,r1i1p1f1,286.89196116298285,238.03068496913505,historical
1919,r1i1p1f1,286.83407044230404,238.3282174010852,historical
1920,r1i1p1f1,286.84396450137933,238.5697256588335,historical
1921,r1i1p1f1,286.98204909188956,239.53306318200544,historical
1922,r1i1p1f1,287.07295315869135,237.86955657531823,historical
1923,r1i1p1f1,287.11014558480247,239.67086626325045,historical
1924,r1i1p1f1,286.87975951701213,237.8739988743137,historical
1925,r1i1p1f1,286.8058155892285,238.8022739458735,historical
1926,r1i1p1f1,286.8922077600328,238.6291969947406,historical
1927,r1i1p1f1,287.0274077047081,239.74903054198515,historical
1928,r1i1p1f1,286.9985933679703,239.01182481962516,historical
1929,r1i1p1f1,287.056739906895,239.149168965977,historical
1930,r1i1p1f1,286.9943299047178,238.38391630389629,historical
1931,r1i1p1f1,286.83450516327775,237.36315668587943,historical
1932,r1i1p1f1,286.9634174635731,238.9007436087528,historical
1933,r1i1p1f1,286.99570467490713,239.3702023013455,historical
