year,ohc_1e22J
1750,10.507870015730829
1751,10.990541017847415
1752,11.415134565304669
1753,11.7781136551651
1754,12.062345372858697
1755,11.757891425279338
1756,11.643899586859252
1757,11.77698155307686
1758,11.995392910519858
1759,12.30092839750454
1760,12.673512783749365
1761,13.037416934674603
1762,13.388707104019485
1763,12.067109999438445
1764,11.329133704921809
1765,11.333453813237245
1766,11.513644199587612
1767,11.759203063676315
1768,11.237146305685735
1769,11.07140049591211
1770,11.370845895508053
1771,11.8055282760338
1772,12.242107444817504
1773,12.639944596776738
1774,12.976995503438149
1775,13.23682061454604
1776,13.467433033175878
1777,13.67814314373855
1778,13.890711851717617
1779,14.158967211361556
1780,14.528098336329839
1781,14.924842456189566
1782,15.31888551575983
1783,15.650362864365547
1784,12.593878445001419
1785,10.797553928587977
1786,10.487799947506607
1787,10.669116598732726
1788,10.999154909961385
1789,11.422853004566864
1790,11.934094440806556
1791,12.453223833323959
1792,12.934784846218058
1793,13.379588303742167
1794,13.763692881043994
1795,14.078165119348458
1796,14.031709242445068
1797,14.065888125145246
1798,14.214364760697036
1799,14.399529989434251
1800,14.617097536162026
1801,14.859625768890593
1802,15.130077658220264
1803,15.43105079018466
1804,15.757890680412038
1805,16.081271052969765
1806,16.375282078657296
1807,16.648602633001314
1808,16.890262229637386
1809,17.091411426221576
1810,12.178442772208607
1811,9.20549583166969
1812,8.651547586403588
1813,8.869437843100547
1814,9.303017759862476
1815,9.75621814092791
1816,0.5453833772300585
1817,-5.459790538887244
1818,-6.609684842685712
1819,-6.229805091062946
1820,-5.491412729726509
1821,-4.73889846834793
1822,-4.057335638397873
1823,-3.801766324485915
1824,-3.4468627202729136
1825,-2.9377269745836916
1826,-2.384896817114788
1827,-1.804615934703573
1828,-1.233970275519729
1829,-0.7159630255180295
1830,-0.22043010550094772
1831,0.21550250703429033
1832,-4.577699629201683
1833,-7.515320381838079
1834,-7.973436432271145
1835,-7.653192600098402
1836,-8.777523586930913
1837,-9.160763582159468
1838,-8.73948355879398
1839,-8.09218624009848
