component,source,module,year,spread_126_585
glaciers,Ladrillo,L16MID,2100,6.343024311298618
glaciers,BRICK 2.0,WR-GSIC,2100,4.47357342681055
glaciers,MAGICC-SLR,Nauels2025,2100,4.848162954799065
glaciers,FACTS,ar5glaciers,2100,6.515161895751955
glaciers,FACTS,emuglaciers,2100,8.480153274536134
gis,Ladrillo,L16MID,2100,7.410267963002607
gis,MAGICC-SLR,Nauels2025,2100,7.090995003825567
gis,FACTS,FittedISMIP,2100,6.342627716064453
gis,FACTS,emuGrIS,2100,7.262720680236816
gis,FACTS,bamber19,2100,7.22999954223633
ais,Ladrillo,L16MID,2100,38.35186927604581
ais,MAGICC-SLR,Nauels2025,2100,35.446238772849306
ais,FACTS,ar5AIS,2100,-2.3235113143920896
ais,FACTS,larmip,2100,2.526546096801761
ais,FACTS,deconto21,2100,19.661499404907225
ais,FACTS,emuAIS,2100,-0.21571960449218786
ais,FACTS,bamber19,2100,8.921500015258792
te,Ladrillo,L16MID,2100,13.244457200284653
te,MAGICC-SLR,Nauels2025,2100,16.791713861451875
te,FACTS,tlm,2100,14.766916656494141
lws,Ladrillo,L16MID,2100,0.0
lws,MAGICC-SLR,Nauels2025,2100,0.0
lws,FACTS,ssp-lws,2100,-0.03843240737915066
total,Ladrillo,L16MID,2100,65.80877754328887
total,MAGICC-SLR,Nauels2025,2100,62.257751622257565
total,FACTS,wf1e,2100,29.801490783691406
total,FACTS,wf1f,2100,25.150569152832034
total,FACTS,wf2e,2100,33.51551513671875
total,FACTS,wf2f,2100,30.499093627929682
total,FACTS,wf3e,2100,50.68604278564452
total,FACTS,wf3f,2100,48.75302581787109
total,FACTS,wf4,2100,37.30274658203124
