onset_K,V_m,tau_yr,psi_cm_per_yr,shipped_onset,psi_in_greve,stages,score_2100,ratio_2100_med,score_2300,ratio_2300_med,score_3001,ratio_3001_med,score_all,score_w_equal,score_w_3:2:1,score_w_4:2:1,score_w_6:3:1,ssp126_2300_cm,ssp126_2100_cm,ssp245_2300_cm,ssp245_2100_cm,ssp585_2300_cm,ssp585_2100_cm,ssp585_in_band,within_inventory
1.6,1.0,800.0,,False,,2,0.34310219045353635,1.3815388563323714,0.5394756198165309,0.6603557208148909,0.8181804824681229,0.47949994170371996,0.59949210708238,0.59949210708238,0.5171467441527396,0.49603623759051685,0.4742189171242696,11.930291339818627,6.055788915703697,29.984056149012467,8.331363820745889,62.838262222766026,14.12556738139572,True,True
1.6,1.0,1600.0,,False,,2,0.3091617861803747,1.3367344364038778,0.7240686679777384,0.5350782002324593,1.1553929892141674,0.3246768975644236,0.807215255370079,0.807215255370079,0.6671115425876547,0.6285820632362425,0.5900207901058959,10.193175246591437,5.869332160867436,21.441064096218994,7.9405344355579865,53.562386324260885,13.504730830120048,True,True
1.6,1.0,2200.0,,False,,2,0.3035343528318536,1.329378730726952,0.7690984341217828,0.5106888610198262,1.3208211024160217,0.2724021486741042,0.8996691779584141,0.8996691779584141,0.7307521806754768,0.6862033851689038,0.6381147395874447,9.845229034653828,5.838655302382752,19.798420100727697,7.876643939274221,51.76041632653009,13.402635608585811,True,True
1.6,1.0,2700.0,,False,,2,0.30137781958921,1.3265650516710823,0.7882234676534856,0.500853969542409,1.4149955188893333,0.24717046969461012,0.9511987425659135,0.9511987425659135,0.7656468462262593,0.717945396745627,0.6641590595782028,9.703741198864547,5.826913233917446,19.13858533353293,7.852236412958215,51.034268543379966,13.363562546827303,True,True
1.6,1.0,3200.0,,False,,2,0.30014021540795943,1.3249517220504299,0.7997869515973963,0.4950483747902878,1.4827937354124443,0.23071045489062972,0.9879980733161008,0.9879980733161009,0.7903847211310779,0.7404952197482292,0.6825071178416805,9.619841351138357,5.820178059041156,18.74990898293648,7.838251369932708,50.6057782312177,13.341152231714396,True,True
1.6,2.0,800.0,,False,,2,0.38820058110185746,1.4421690725785097,0.39088927070815915,0.8410358011628235,0.5340087897370028,0.7813526067857286,0.44296707952884967,0.44296707952884967,0.4169039267683765,0.4129256238973605,0.40592447578183394,14.464782235298006,6.3082897956708095,42.24322375233632,8.859476931577134,76.20454977387764,14.96617347987398,True,True
1.6,2.0,1600.0,,False,,2,0.32125685212130906,1.3525602327215227,0.6331638644951367,0.5904807599979603,0.8300382470151,0.4717065185071357,0.6306255983400422,0.6306255983400422,0.547779509355332,0.5214787093657396,0.5010876888953173,10.990550048843629,5.935376285998288,25.157239646749378,8.077818161201328,57.652797976867355,13.72450037732263,True,True
1.6,2.0,2200.0,,False,,2,0.3100275324108591,1.337848821367671,0.7123272027917168,0.5417020815726942,1.043252991015357,0.3671570207264971,0.7509780107638142,0.7509780107638142,0.6313409147065383,0.5961381880005073,0.5645626059074672,10.294657624968409,5.87402256902892,21.87195165576678,7.950037168633797,54.048857981405774,13.520309934254161,True,True
1.6,2.0,2700.0,,False,,2,0.3057187271217969,1.3322214632559313,0.7477003131157494,0.5220322986178598,1.1781976631314135,0.3166936627675089,0.8247564148997134,0.8247564148997135,0.681499947446075,0.6414400105930171,0.6021711259090993,10.011681953389845,5.850538432098308,20.552282121377242,7.901222116001784,52.596562415105524,13.442163810737144,True,True
1.6,2.0,3200.0,,False,,2,0.3032449350450439,1.3289948040146264,0.7695877208960188,0.5104211091136173,1.2815635088330346,0.2837736331595482,0.880648961080566,0.880648961080566,0.7191207616911682,0.6755701835171942,0.6301544057940929,9.843882257937466,5.837068082345729,19.77492942018434,7.873252029950772,51.73958179078099,13.397343180511331,True,True
