window,component,arm,n,mean_bias,rmse,max_abs,coverage90
full,AIS,Ladrillo,126,-0.003771554255615305,0.02984324500433656,0.12573251116165862,0.8492063492063492
full,AIS,BRICK 2.0,126,-1.1581691624482342,1.5964324866030768,3.341355148674696,0.2619047619047619
full,glaciers,Ladrillo,124,0.3126815184323355,0.5780063539776374,1.5785883179802127,0.3709677419354839
full,glaciers,BRICK 2.0,124,0.9615211481356155,1.5881658892281236,4.015074615995824,0.3951612903225806
full,Greenland,Ladrillo,126,0.0018090668667099458,0.061265359516355464,0.1896456585334032,0.6190476190476191
full,Greenland,BRICK 2.0,126,-0.5913388588588985,0.6997347633514016,1.1619032350878975,0.21428571428571427
full,thermal exp.,Ladrillo,126,0.28090709866988123,0.407235080339135,0.8864288248733581,0.30158730158730157
full,thermal exp.,BRICK 2.0,126,0.1941824533153968,0.33129402420979837,0.6986474089005221,0.9682539682539683
full,TOTAL,Ladrillo,125,0.22105704624580508,0.32990961177520295,0.7988057516692124,0.512
full,TOTAL,BRICK 2.0,125,-1.46614956193927,1.882610460433363,3.422425304459357,0.208
1920-1949,AIS,Ladrillo,30,-0.01117165746754398,0.011316758248358798,0.01293561725402581,1.0
1920-1949,AIS,BRICK 2.0,30,-1.9578761588937206,1.9842706854871703,2.5094333048436717,0.0
1920-1949,glaciers,Ladrillo,30,0.42102754950707133,0.4904250801197247,0.8755694187497927,0.4666666666666667
1920-1949,glaciers,BRICK 2.0,30,1.5142336454758194,1.6382486441740043,2.5629530026454277,0.0
1920-1949,Greenland,Ladrillo,30,0.012758886731993813,0.07989476522296315,0.1896456585334032,0.6
1920-1949,Greenland,BRICK 2.0,30,-0.7371002325363551,0.7876326016987747,1.0672781529156445,0.26666666666666666
1920-1949,thermal exp.,Ladrillo,30,0.5547320285875997,0.6244726690890352,0.8864288248733581,0.2
1920-1949,thermal exp.,BRICK 2.0,30,0.3884983324242264,0.4741184495400583,0.6986474089005221,1.0
1920-1949,TOTAL,Ladrillo,30,0.20056432381464398,0.3304008914269475,0.7114148645573035,0.8
1920-1949,TOTAL,BRICK 2.0,30,-2.4846481548118375,2.5470114233655377,3.365922378675249,0.0
1950-1992,AIS,Ladrillo,43,-0.0019020202257722543,0.009569485648136025,0.04109758870814481,0.9767441860465116
1950-1992,AIS,BRICK 2.0,43,-0.7053398981741453,0.8082294255445154,1.3953169887819405,0.023255813953488372
1950-1992,glaciers,Ladrillo,43,0.022195522652399408,0.12182474593511201,0.20360409583203354,0.4883720930232558
1950-1992,glaciers,BRICK 2.0,43,0.03410469114390276,0.13114982071295883,0.4478347866349397,0.9534883720930233
1950-1992,Greenland,Ladrillo,43,-0.014269733227104267,0.04871491552399515,0.11931692009959183,0.6511627906976745
1950-1992,Greenland,BRICK 2.0,43,-0.8658582822984492,0.9132443162126479,1.1619032350878975,0.0
1950-1992,thermal exp.,Ladrillo,43,0.1395696213562799,0.23760047831509462,0.45512491772732666,0.4186046511627907
1950-1992,thermal exp.,BRICK 2.0,43,0.049894416098067385,0.18965745910212953,0.33899028843572987,1.0
1950-1992,TOTAL,Ladrillo,43,0.3003326539567552,0.356526694048577,0.7742205025161351,0.3023255813953488
1950-1992,TOTAL,BRICK 2.0,43,-1.5605273709296965,1.8671936241473779,3.422425304459357,0.11627906976744186
1993-2026,AIS,Ladrillo,33,-0.006860316178373265,0.05549688134544949,0.12573251116165862,0.45454545454545453
1993-2026,AIS,BRICK 2.0,33,0.06151153583808732,0.0991521954828645,0.2610871984148173,0.9696969696969697
1993-2026,glaciers,Ladrillo,31,-0.01237863912919706,0.04239245785048271,0.08444526454696571,0.3548387096774194
1993-2026,glaciers,BRICK 2.0,31,0.16473570381620348,0.24600850950039985,0.5233668024730402,0.25806451612903225
1993-2026,Greenland,Ladrillo,33,5.147122453775193e-05,0.045094618939880225,0.1016726430675236,0.42424242424242425
1993-2026,Greenland,BRICK 2.0,33,-0.12090838453128794,0.1685880472577014,0.2765707993200971,0.45454545454545453
1993-2026,thermal exp.,Ladrillo,33,0.1329844480893364,0.21443639044439114,0.41074565954377906,0.21212121212121213
1993-2026,thermal exp.,BRICK 2.0,33,0.19463849087916676,0.2941324145652627,0.5451534343365152,0.8787878787878788
1993-2026,TOTAL,Ladrillo,32,0.18076082267127142,0.34455767279151206,0.7988057516692124,0.21875
1993-2026,TOTAL,BRICK 2.0,32,0.05598662532516546,0.31664362157843207,0.7861165229766365,0.65625
