source,module,scenario,component,year,med,p05,p17,p83,p95,band_basis
BRICK 2.0,BRICK2.0,ssp126,ais,2100,5.033347845077515,1.4841703236103059,2.7394574594497683,31.50704769134521,65.42471046447753,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp126,ais,2150,7.726144075393677,2.104796433448792,4.126740050315857,59.31566101074217,117.37339401245116,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp126,ais,2300,15.238667488098145,4.59166009426117,8.66142144203186,135.46322357177732,263.9007537841797,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2100,24.789243698120117,2.1236669301986693,4.491402845382691,49.870998001098634,70.23373184204101,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2150,67.13440322875977,3.871814823150635,9.517797765731814,108.21656173706054,139.16425781249998,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2300,187.2691650390625,9.314563274383545,27.431822261810304,289.2024127197265,362.149868774414,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2100,43.276607513427734,16.24576301574707,26.324999237060545,63.79368091583252,81.29952468872071,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2150,98.07090377807617,49.29812641143799,65.04003494262696,137.6465621948242,175.35306015014646,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2300,275.44554138183594,136.89224929809572,187.17188186645507,406.2384204101562,542.1185150146483,joint (BRICK 2.0 posterior x FaIR forcing)
FACTS,ar5AIS,ssp126,ais,2100,5.861146354675293,-4.84630880355835,-2.1328656578063967,13.04668829345703,15.87110939025879,climate + parameter
FACTS,ar5AIS,ssp245,ais,2100,5.216113281250001,-5.5060888671875,-2.7124913654327374,12.522611061096187,15.434013061523435,climate + parameter
FACTS,ar5AIS,ssp585,ais,2100,4.301856803894044,-7.116488075256348,-3.981447963714597,11.941784378051755,14.811744766235352,climate + parameter
FACTS,bamber19,ssp126,ais,2100,10.336666870117188,-9.025583419799805,-0.5493333301544187,36.30296606445312,95.98616638183591,climate + parameter
FACTS,bamber19,ssp245,ais,2100,11.429166793823242,-9.411333122253415,0.0412866665124902,45.56756585693359,103.79416259765622,climate + parameter
FACTS,bamber19,ssp585,ais,2100,15.659165954589843,-10.302333145141604,-0.5159333143234252,57.23597930908203,115.80066955566396,climate + parameter
FACTS,deconto21,ssp126,ais,2100,9.03550033569336,6.413999938964844,6.9059997558593755,13.541000366210938,33.949799041748,climate + parameter
FACTS,deconto21,ssp245,ais,2100,10.489499664306642,6.691999816894532,7.138999938964844,26.441998291015626,47.14389831542967,climate + parameter
FACTS,deconto21,ssp585,ais,2100,18.983001708984375,6.98600082397461,8.71713023376465,44.674249420166014,58.919995117187504,climate + parameter
FACTS,emuAIS,ssp126,ais,2100,9.15082778930664,-1.9404419231414796,2.72253772354126,14.056770263671876,18.96774055480957,climate + parameter
FACTS,emuAIS,ssp245,ais,2100,9.071329116821287,-1.983801918029785,2.612389780044556,14.219205856323242,18.782884216308588,climate + parameter
FACTS,emuAIS,ssp585,ais,2100,9.223917388916016,-2.045477933883667,2.8114351100921655,14.478183609008788,18.669185562133787,climate + parameter
FACTS,larmip,ssp126,ais,2100,11.928012084960937,2.7047972011566164,4.422804733276369,24.68208901977539,43.19723587036126,climate + parameter
